"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"XLNX","Xilinx Inc","Common stocks","Large cap","Information Technology","$31,873,746,150","0.87%","USA","Analyze"
"XEL","Xcel Energy Inc","Common stocks","Large cap","Utilities","$31,710,528,170","2.89%","USA","Analyze"
"ORLY","Oreilly Automotive Inc","Common stocks","Large cap","Consumer Discretionary","$31,688,482,120","0.00%","USA","Analyze"
"TDOC","Teladoc Inc","Common stocks","Large cap","Health Care","$31,589,846,204","0.00%","USA","Analyze"
"YUM","Yum Brands Inc","Common stocks","Large cap","Consumer Discretionary","$31,427,793,379","1.81%","USA","Analyze"
"OKTA","Okta Inc Class A","Common stocks","Large cap","Information Technology","$31,402,319,548","0.00%","USA","Analyze"
"VLO","Valero Energy Corp","Common stocks","Large cap","Energy","$31,308,174,337","4.99%","USA","Analyze"
"CSGP","Costar Group Inc","Common stocks","Large cap","Industrials","$31,146,981,903","0.00%","USA","Analyze"
"PTON","Peloton Interactive, Inc. Class A","Common stocks","Large cap","Consumer Discretionary","$31,101,305,848","0.00%","USA","Analyze"
"DAL","Delta Air Lines Inc","Common stocks","Large cap","Industrials","$30,777,813,653","0.84%","USA","Analyze"
"CCL","Carnival Corp","Common stocks","Large cap","Consumer Discretionary","$30,459,084,541","1.90%","USA","Analyze"
"MSI","Motorola Solutions Inc","Common stocks","Large cap","Information Technology","$30,398,048,393","1.45%","USA","Analyze"
"HSY","Hershey Foods","Common stocks","Large cap","Consumer Staples","$30,253,439,700","2.17%","USA","Analyze"
"ETSY","Etsy Inc","Common stocks","Large cap","Consumer Discretionary","$30,053,928,877","0.00%","USA","Analyze"
"SWK","Stanley Black & Decker Inc","Common stocks","Large cap","Industrials","$29,840,825,452","1.12%","USA","Analyze"
"RNG","Ringcentral Inc Class A","Common stocks","Large cap","Information Technology","$29,777,548,655","0.00%","USA","Analyze"
"GLW","Corning Inc","Common stocks","Large cap","Information Technology","$29,766,572,020","2.30%","USA","Analyze"
"SWKS","Skyworks Solutions Inc","Common stocks","Large cap","Information Technology","$29,663,864,058","1.35%","USA","Analyze"
"DFS","Discover Financial Services","Common stocks","Large cap","Financials","$29,608,018,842","1.35%","USA","Analyze"
"WLTW","Willis Towers Watson PLC","Common stocks","Large cap","Financials","$29,290,497,295","1.20%","USA","Analyze"
"U","Unity Software Inc.","Common stocks","Large cap","Information Technology","$29,270,995,105","0.00%","USA","Analyze"
"RSG","Republic Services Inc","Common stocks","Large cap","Industrials","$29,214,274,454","1.80%","USA","Analyze"
"LBRDA","Liberty Broadband Corp Series A","Common stocks","Large cap","Communication Services","$29,061,230,149","0.00%","USA","Analyze"
"LBRDK","Liberty Broadband Corp Series C","Common stocks","Large cap","Communication Services","$29,061,230,149","0.00%","USA","Analyze"
"ROK","Rockwell Automation Inc","Common stocks","Large cap","Industrials","$28,888,930,196","1.67%","USA","Analyze"
"ANSS","Ansys Inc","Common stocks","Large cap","Information Technology","$28,885,408,434","0.00%","USA","Analyze"
"WMB","Williams Inc","Common stocks","Large cap","Energy","$28,786,253,207","6.56%","USA","Analyze"
"DHI","D R Horton Inc","Common stocks","Large cap","Consumer Discretionary","$28,652,420,871","0.95%","USA","Analyze"
"WELL","Welltower Inc","REITs","Large cap","Real Estate","$28,640,824,136","3.50%","USA","Analyze"
"FRC","First Republic Bank","Common stocks","Large cap","Financials","$28,500,093,000","0.48%","USA","Analyze"
"OTIS","Otis Worldwide Corporation","Common stocks","Large cap","Industrials","$28,366,420,437","0.91%","USA","Analyze"
"BLL","Ball Corp","Common stocks","Large cap","Materials","$28,316,463,292","0.69%","USA","Analyze"
"FTNT","Fortinet Inc","Common stocks","Large cap","Information Technology","$28,289,145,809","0.00%","USA","Analyze"
"AME","Ametek Inc","Common stocks","Large cap","Industrials","$28,218,714,619","0.59%","USA","Analyze"
"RMD","Resmed Inc","Common stocks","Large cap","Health Care","$28,113,810,120","0.81%","USA","Analyze"
"SGEN","Seattle Genetics Inc","Common stocks","Large cap","Health Care","$27,846,786,995","0.00%","USA","Analyze"
"ES","Eversource Energy","Common stocks","Large cap","Utilities","$27,687,231,704","2.10%","USA","Analyze"
"MCK","Mckesson Corp","Common stocks","Large cap","Health Care","$27,650,566,634","0.96%","USA","Analyze"
"PEG","Public Service Enterprise Group Inc","Common stocks","Large cap","Utilities","$27,583,133,590","3.56%","USA","Analyze"
"FAST","Fastenal","Common stocks","Large cap","Industrials","$27,269,722,028","2.14%","USA","Analyze"
"ZS","Zscaler Inc","Common stocks","Large cap","Information Technology","$27,188,612,755","0.00%","USA","Analyze"
"STT","State Street Corp","Common stocks","Large cap","Financials","$27,098,103,080","2.67%","USA","Analyze"
"VRSK","Verisk Analytics Inc","Common stocks","Large cap","Industrials","$27,085,263,580","0.65%","USA","Analyze"
"SIVB","SVB Financial Group","Common stocks","Large cap","Financials","$26,999,135,168","0.00%","USA","Analyze"
"SBAC","SBA Communications Corporation","REITs","Large cap","Real Estate","$26,929,879,206","0.75%","USA","Analyze"
"AZO","Autozone Inc","Common stocks","Large cap","Consumer Discretionary","$26,855,745,080","0.00%","USA","Analyze"
"ZBRA","Zebra Technologies Corp","Common stocks","Large cap","Information Technology","$26,820,320,198","0.00%","USA","Analyze"
"LSXMA","Liberty Media Liberty Siriusxm Series A","Common stocks","Large cap","Communication Services","$26,794,840,929","0.10%","USA","Analyze"
"LSXMK","Liberty Media Liberty Siriusxm Series C","Common stocks","Large cap","Communication Services","$26,794,840,929","0.10%","USA","Analyze"
"FWONK","Liberty Media Formula One Corp Series C","Common stocks","Large cap","Communication Services","$26,794,840,929","0.00%","USA","Analyze"
"FWONA","Liberty Media Formula One Corp Series A","Common stocks","Large cap","Communication Services","$26,794,840,929","0.00%","USA","Analyze"
"KKR","KKR & Co Inc.","Common stocks","Large cap","Financials","$26,783,589,032","0.87%","USA","Analyze"
"AMP","Ameriprise Finance Inc","Common stocks","Large cap","Financials","$26,638,215,139","1.83%","USA","Analyze"
"BBY","Best Buy Inc","Common stocks","Large cap","Consumer Discretionary","$26,547,026,227","2.13%","USA","Analyze"
"KEYS","Keysight Technologies Inc","Common stocks","Large cap","Information Technology","$26,379,342,264","0.00%","USA","Analyze"
"MTD","Mettler Toledo Inc","Common stocks","Large cap","Health Care","$26,277,174,689","0.00%","USA","Analyze"
"WEC","WEC Energy Group Inc","Common stocks","Large cap","Utilities","$26,190,529,109","3.07%","USA","Analyze"
"CBRE","CBRE Group Inc","Common stocks","Large cap","Real Estate","$26,173,223,444","0.00%","USA","Analyze"
"ODFL","Old Dominion Freight Line Inc","Common stocks","Large cap","Industrials","$26,095,687,127","0.29%","USA","Analyze"
"OXY","Occidental Petroleum Corp","Common stocks","Large cap","Energy","$25,915,852,255","2.94%","USA","Analyze"
"CPRT","Copart Inc","Common stocks","Large cap","Industrials","$25,873,079,442","0.00%","USA","Analyze"
"LEN.B","Lennar Corporation Class B","Common stocks","Large cap","Consumer Discretionary","$25,755,119,806","0.74%","USA","Analyze"
"LEN","Lennar Corporation Class A","Common stocks","Large cap","Consumer Discretionary","$25,755,119,806","0.89%","USA","Analyze"
"FITB","Fifth Third Bancorp","Common stocks","Large cap","Financials","$25,753,980,108","2.94%","USA","Analyze"
"AWK","American Water Works Inc","Common stocks","Large cap","Utilities","$25,312,821,382","1.57%","USA","Analyze"
"HRL","Hormel Foods Corp","Common stocks","Large cap","Consumer Staples","$25,289,764,600","2.00%","USA","Analyze"
"WY","Weyerhaeuser Company","REITs","Large cap","Real Estate","$25,267,080,720","1.50%","USA","Analyze"
"BKR","Baker Hughes Company Class A","Common stocks","Large cap","Energy","$25,228,798,800","2.91%","USA","Analyze"
"TSN","Tyson Foods Inc Class A","Common stocks","Large cap","Consumer Staples","$25,008,860,480","2.49%","USA","Analyze"
"EQR","Equity Residential","REITs","Large cap","Real Estate","$24,968,435,405","3.54%","USA","Analyze"
"YUMC","Yum China Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$24,934,340,534","0.40%","China","Analyze"
"AVB","AvalonBay Communities, Inc","REITs","Large cap","Real Estate","$24,866,589,802","3.51%","USA","Analyze"
"MXIM","Maxim Integrated Products Inc","Common stocks","Large cap","Information Technology","$24,828,644,036","1.03%","USA","Analyze"
"KR","Kroger","Common stocks","Large cap","Consumer Staples","$24,789,460,274","2.13%","USA","Analyze"
"SIRI","Sirius Xm Holdings Inc","Common stocks","Large cap","Communication Services","$24,757,074,103","0.93%","USA","Analyze"
"W","Wayfair Inc Class A","Common stocks","Large cap","Consumer Discretionary","$24,650,792,141","0.00%","USA","Analyze"
"PXD","Pioneer Natural Resource","Common stocks","Large cap","Energy","$24,636,358,454","1.46%","USA","Analyze"
"COUP","Coupa Software Inc","Common stocks","Large cap","Information Technology","$24,551,454,831","0.00%","USA","Analyze"
"GRMN","Garmin Ltd","Common stocks","Large cap","Consumer Discretionary","$24,331,480,212","1.87%","USA","Analyze"
"SPLK","Splunk Inc","Common stocks","Large cap","Information Technology","$24,110,960,185","0.00%","USA","Analyze"
"HUBS","Hubspot Inc","Common stocks","Large cap","Information Technology","$23,973,360,850","0.00%","USA","Analyze"
"LH","Laboratory Corporation Of America","Common stocks","Large cap","Health Care","$23,780,240,000","0.00%","USA","Analyze"
"FLT","Fleetcor Technologies Inc","Common stocks","Large cap","Information Technology","$23,643,518,906","0.00%","USA","Analyze"
"AJG","Arthur J Gallagher","Common stocks","Large cap","Financials","$23,578,158,000","1.47%","USA","Analyze"
"DLTR","Dollar Tree Inc","Common stocks","Large cap","Consumer Discretionary","$23,272,263,440","0.00%","USA","Analyze"
"NET","Cloudflare, Inc. Class A","Common stocks","Large cap","Information Technology","$23,201,150,000","0.00%","USA","Analyze"
"NDAQ","Nasdaq Inc","Common stocks","Large cap","Financials","$23,176,857,966","1.37%","USA","Analyze"
"SYF","Synchrony Financial","Common stocks","Large cap","Financials","$23,098,364,206","2.20%","USA","Analyze"
"EXAS","Exact Sciences Corp","Common stocks","Large cap","Health Care","$23,062,616,365","0.00%","USA","Analyze"
"FTV","Fortive Corp","Common stocks","Large cap","Industrials","$23,019,374,569","0.38%","USA","Analyze"
"ED","Consolidated Edison Inc","Common stocks","Large cap","Utilities","$22,969,477,387","4.54%","USA","Analyze"
"MDB","MongoDB, Inc. Class A","Common stocks","Large cap","Information Technology","$22,896,982,198","0.00%","USA","Analyze"
"PAYC","Paycom Software Inc","Common stocks","Large cap","Information Technology","$22,884,285,174","0.00%","USA","Analyze"
"DTE","DTE Energy","Common stocks","Large cap","Utilities","$22,727,007,916","3.45%","USA","Analyze"
"MKC","McCormick & Co  Non-voting","Common stocks","Large cap","Consumer Staples","$22,655,356,586","1.12%","USA","Analyze"
"O","Realty Income Corporation","REITs","Large cap","Real Estate","$22,540,856,725","4.55%","USA","Analyze"
"CLX","Clorox","Common stocks","Large cap","Consumer Staples","$22,519,153,692","2.43%","USA","Analyze"
"VMC","Vulcan Materials","Common stocks","Large cap","Materials","$22,392,505,722","0.82%","USA","Analyze"
"RCL","Royal Caribbean Cruises Ltd","Common stocks","Large cap","Consumer Discretionary","$22,246,075,211","0.83%","USA","Analyze"
"EXPE","Expedia Inc","Common stocks","Large cap","Consumer Discretionary","$22,171,927,937","0.21%","USA","Analyze"
"ENPH","Enphase Energy Inc","Common stocks","Large cap","Information Technology","$22,151,668,886","0.00%","USA","Analyze"
"CDW","CDW Corp","Common stocks","Large cap","Information Technology","$22,149,701,025","0.99%","USA","Analyze"
"MKTX","Marketaxess Holdings Inc","Common stocks","Large cap","Financials","$21,995,053,278","0.42%","USA","Analyze"
"ARE","Alexandria Real Estate Equities, Inc","REITs","Large cap","Real Estate","$21,987,028,194","2.61%","USA","Analyze"
"VRSN","Verisign Inc","Common stocks","Large cap","Information Technology","$21,939,213,888","0.00%","USA","Analyze"
"FOX","Fox Corporation Class B","Common stocks","Large cap","Communication Services","$21,924,350,722","0.64%","USA","Analyze"
"FOXA","Fox Corporation Class A","Common stocks","Large cap","Communication Services","$21,924,350,722","0.61%","USA","Analyze"
"EPAM","Epam Systems Inc","Common stocks","Large cap","Information Technology","$21,757,743,451","0.00%","USA","Analyze"
"ANET","Arista Networks Inc","Common stocks","Large cap","Information Technology","$21,701,066,204","0.00%","USA","Analyze"
"TTWO","Take Two Interactive Software Inc","Common stocks","Large cap","Communication Services","$21,672,978,401","0.00%","USA","Analyze"
"PCG","Pacific Gas & Electric Co.","Common stocks","Large cap","Utilities","$21,593,359,962","0.00%","USA","Analyze"
"ABC","AmerisourceBergen Corp","Common stocks","Large cap","Health Care","$21,340,616,138","1.64%","USA","Analyze"
"CERN","Cerner Corp","Common stocks","Large cap","Health Care","$21,321,146,849","1.09%","USA","Analyze"
"WDC","Western Digital Corp","Common stocks","Large cap","Information Technology","$21,285,997,828","0.72%","USA","Analyze"
"GNRC","Generac Holdings Inc","Common stocks","Large cap","Industrials","$21,284,282,941","0.00%","USA","Analyze"
"URI","United Rentals Inc","Common stocks","Large cap","Industrials","$21,184,711,564","0.00%","USA","Analyze"
"TER","Teradyne Inc","Common stocks","Large cap","Information Technology","$21,136,897,090","0.32%","USA","Analyze"
"MLM","Martin Marietta Materials Inc","Common stocks","Large cap","Materials","$20,965,105,597","0.67%","USA","Analyze"
"PPL","PPL Corporation","Common stocks","Large cap","Utilities","$20,870,247,065","5.99%","USA","Analyze"
"HZNP","Horizon Pharma Plc","Common stocks","Large cap","Health Care","$20,854,896,026","0.00%","USA","Analyze"
"OKE","Oneok Inc","Common stocks","Large cap","Energy","$20,837,794,742","7.66%","USA","Analyze"
"EIX","Edison International","Common stocks","Large cap","Utilities","$20,822,654,707","4.61%","USA","Analyze"
"DDOG","Datadog, Inc. - Class A","Common stocks","Large cap","Information Technology","$20,720,302,354","0.00%","USA","Analyze"
"GWW","W.W. Grainger Inc","Common stocks","Large cap","Industrials","$20,697,620,163","1.55%","USA","Analyze"
"COO","Cooper Companies, Inc.","Common stocks","Large cap","Health Care","$20,691,885,552","0.02%","USA","Analyze"
"UI","Ubiquiti Inc.","Common stocks","Large cap","Information Technology","$20,637,841,022","0.45%","USA","Analyze"
"WST","West Pharmaceutical Services Inc","Common stocks","Large cap","Health Care","$20,608,051,531","0.24%","USA","Analyze"
"IP","International Paper","Common stocks","Large cap","Materials","$20,548,231,706","3.86%","USA","Analyze"
"WORK","Slack Technologies, Inc. Class A","Common stocks","Large cap","Information Technology","$20,520,976,652","0.00%","USA","Analyze"
"RF","Regions Financial Corp","Common stocks","Large cap","Financials","$20,274,970,159","2.89%","USA","Analyze"
"NTRS","Northern Trust Corporation","Common stocks","Large cap","Financials","$20,268,989,271","2.12%","USA","Analyze"
"EFX","Equifax Inc","Common stocks","Large cap","Industrials","$20,227,782,539","0.94%","USA","Analyze"
"QRVO","Qorvo, Inc.","Common stocks","Large cap","Information Technology","$20,098,467,357","0.00%","USA","Analyze"
"IAC","IAC/InterActive","Common stocks","Large cap","Communication Services","$20,010,709,678","0.13%","USA","Analyze"
"KEY","Keycorp","Common stocks","Large cap","Financials","$20,006,032,889","3.53%","USA","Analyze"
"MTB","M&T Bank Corp","Common stocks","Large cap","Financials","$19,888,503,489","2.81%","USA","Analyze"
"HES","Hess Corp","Common stocks","Large cap","Energy","$19,871,239,576","1.53%","USA","Analyze"
"VTR","Ventas, Inc","REITs","Large cap","Real Estate","$19,860,677,195","3.97%","USA","Analyze"
"HAL","Halliburton","Common stocks","Large cap","Energy","$19,798,738,227","0.81%","USA","Analyze"
"K","Kellogg","Common stocks","Large cap","Consumer Staples","$19,684,276,299","3.93%","USA","Analyze"
"LYV","Live Nation Entertainment Inc","Common stocks","Large cap","Communication Services","$19,664,323,190","0.00%","USA","Analyze"
"KMX","Carmax Inc","Common stocks","Large cap","Consumer Discretionary","$19,664,264,742","0.00%","USA","Analyze"
"IR","Ingersoll Rand Plc","Common stocks","Large cap","Industrials","$19,598,187,726","4.47%","USA","Analyze"
"CHD","Church And Dwight Inc","Common stocks","Large cap","Consumer Staples","$19,414,728,691","1.22%","USA","Analyze"
"CTLT","Catalent Inc","Common stocks","Large cap","Health Care","$19,366,670,498","0.00%","USA","Analyze"
"HOLX","Hologic Inc","Common stocks","Large cap","Health Care","$19,278,255,277","0.00%","USA","Analyze"
"KSU","Kansas City Southern","Common stocks","Large cap","Industrials","$19,090,766,569","0.78%","USA","Analyze"
"MGM","MGM Resorts International","Common stocks","Large cap","Consumer Discretionary","$19,071,648,302","0.41%","USA","Analyze"
"ULTA","Ulta Beauty Inc","Common stocks","Large cap","Consumer Discretionary","$18,975,980,388","0.00%","USA","Analyze"
"TRMB","Trimble Inc","Common stocks","Large cap","Information Technology","$18,966,152,033","0.00%","USA","Analyze"
"CFG","Citizens Financial Group Inc","Common stocks","Large cap","Financials","$18,900,231,389","3.44%","USA","Analyze"
"TFX","Teleflex Inc","Common stocks","Large cap","Health Care","$18,852,411,482","0.25%","USA","Analyze"
"TYL","Tyler Technologies Inc","Common stocks","Large cap","Information Technology","$18,845,862,249","0.00%","USA","Analyze"
"HPE","Hewlett Packard Enterprise","Common stocks","Large cap","Information Technology","$18,755,747,245","3.28%","USA","Analyze"
"TSCO","Tractor Supply","Common stocks","Large cap","Consumer Discretionary","$18,481,525,553","1.05%","USA","Analyze"
"HIG","Hartford Financial Services Group","Common stocks","Large cap","Financials","$18,447,738,654","2.54%","USA","Analyze"
"NUE","Nucor Corp","Common stocks","Large cap","Materials","$18,422,214,483","2.58%","USA","Analyze"
"XYL","Xylem Inc","Common stocks","Large cap","Industrials","$18,389,351,946","1.04%","USA","Analyze"
"LYFT","Lyft, Inc. - Class A","Common stocks","Large cap","Industrials","$18,266,510,356","0.00%","USA","Analyze"
"DOV","Dover Corp","Common stocks","Large cap","Industrials","$18,265,001,756","1.55%","USA","Analyze"
"RPRX","Royalty Pharma plc - Class A","Common stocks","Large cap","Health Care","$18,222,816,180","1.00%","USA","Analyze"
"AEE","Ameren Corp","Common stocks","Large cap","Utilities","$18,218,765,601","2.76%","USA","Analyze"
"DRI","Darden Restaurants Inc","Common stocks","Large cap","Consumer Discretionary","$18,110,402,086","0.48%","USA","Analyze"
"ALB","Albemarle Corp","Common stocks","Large cap","Materials","$17,928,738,523","1.00%","USA","Analyze"
"AMCR","Amcor plc","Common stocks","Large cap","Materials","$17,853,404,517","4.01%","United Kingdom","Analyze"
"AES","AES Corp","Common stocks","Large cap","Utilities","$17,841,514,644","2.14%","USA","Analyze"
"ALNY","Alnylam Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$17,832,277,716","0.00%","USA","Analyze"
"FE","Firstenergy Corp","Common stocks","Large cap","Utilities","$17,822,887,103","4.66%","USA","Analyze"
"ETR","Entergy Corp","Common stocks","Large cap","Utilities","$17,794,604,356","4.18%","USA","Analyze"
"BIO","Bio Rad Laboratories Inc Class A","Common stocks","Large cap","Health Care","$17,692,517,448","0.00%","USA","Analyze"
"PODD","Insulet Corp","Common stocks","Large cap","Health Care","$17,530,880,178","0.00%","USA","Analyze"
"ZEN","Zendesk Inc","Common stocks","Large cap","Information Technology","$17,519,006,579","0.00%","USA","Analyze"
"LNG","Cheniere Energy Inc","Common stocks","Large cap","Energy","$17,459,884,578","0.00%","USA","Analyze"
"DISH","Dish Network Corp Class A","Common stocks","Large cap","Communication Services","$17,405,108,105","0.00%","USA","Analyze"
"INCY","Incyte Corp","Common stocks","Large cap","Health Care","$17,270,905,124","0.00%","USA","Analyze"
"SSNC","SS&C Technologies Holdings, Inc.","Common stocks","Large cap","Information Technology","$17,178,024,092","0.84%","USA","Analyze"
"VTRS","Viatris Inc.","Common stocks","Large cap","Health Care","$17,148,000,000","0.00%","USA","Analyze"
"NVR","NVR, Inc.","Common stocks","Large cap","Consumer Discretionary","$17,146,793,851","0.00%","USA","Analyze"
"BURL","Burlington Stores Inc","Common stocks","Large cap","Consumer Discretionary","$17,125,728,898","0.00%","USA","Analyze"
"ESS","Essex Property Trust, Inc","REITs","Large cap","Real Estate","$17,013,611,050","3.13%","USA","Analyze"
"WAT","Waters Corp","Common stocks","Large cap","Health Care","$17,002,921,914","0.00%","USA","Analyze"
"MPWR","Monolithic Power Systems Inc","Common stocks","Large cap","Information Technology","$16,906,230,180","0.54%","USA","Analyze"
"CTXS","Citrix Systems Inc","Common stocks","Large cap","Information Technology","$16,811,600,755","1.02%","USA","Analyze"
"TRU","TransUnion","Common stocks","Large cap","Industrials","$16,764,437,000","0.34%","USA","Analyze"
"CAG","Conagra Brands Inc","Common stocks","Large cap","Consumer Staples","$16,763,144,735","2.81%","USA","Analyze"
"AVTR","Avantor, Inc.","Common stocks","Large cap","Health Care","$16,692,134,664","0.00%","USA","Analyze"
"BR","Broadridge Financial Solutions Inc","Common stocks","Large cap","Information Technology","$16,656,501,837","1.54%","USA","Analyze"
"ON","ON Semiconductor Corp","Common stocks","Large cap","Information Technology","$16,652,351,701","0.00%","USA","Analyze"
"INVH","Invitation Homes Inc","REITs","Large cap","Real Estate","$16,613,886,453","2.10%","USA","Analyze"
"HEI","Heico Corp","Common stocks","Large cap","Industrials","$16,558,682,290","0.12%","USA","Analyze"
"HEI.A","Heico Corporation Class A","Common stocks","Large cap","Industrials","$16,558,682,290","0.14%","USA","Analyze"
"ROL","Rollins Inc","Common stocks","Large cap","Industrials","$16,469,538,000","0.71%","USA","Analyze"
"EXR","Extra Space Storage Inc","REITs","Large cap","Real Estate","$16,468,492,430","2.85%","USA","Analyze"
"IT","Gartner Inc","Common stocks","Large cap","Information Technology","$16,363,605,215","0.00%","USA","Analyze"
"CE","Celanese Corporation","Common stocks","Large cap","Materials","$16,294,818,514","1.77%","USA","Analyze"
"RJF","Raymond James Inc","Common stocks","Large cap","Financials","$16,287,097,947","1.26%","USA","Analyze"
"ALLY","Ally Financial Inc","Common stocks","Large cap","Financials","$16,259,052,411","1.73%","USA","Analyze"
"SUI","Sun Communities, Inc","REITs","Large cap","Real Estate","$16,223,149,085","2.08%","USA","Analyze"
"VAR","Varian Medical Systems Inc","Common stocks","Large cap","Health Care","$16,169,141,417","0.00%","USA","Analyze"
"CINF","Cincinnati Financial Corp","Common stocks","Large cap","Financials","$16,116,968,162","2.37%","USA","Analyze"
"TXG","10x Genomics, Inc.","Common stocks","Large cap","Health Care","$16,071,221,373","0.00%","USA","Analyze"
"PEAK","Healthpeak Properties, Inc.","REITs","Large cap","Real Estate","$16,036,690,020","4.65%","USA","Analyze"
"HBAN","Huntington Bancshares Inc","Common stocks","Large cap","Financials","$16,011,443,855","3.74%","USA","Analyze"
"EXPD","Expeditors International Of Washington","Common stocks","Large cap","Industrials","$15,995,386,096","1.10%","USA","Analyze"
"PTC","PTC Inc","Common stocks","Large cap","Information Technology","$15,945,790,161","0.00%","USA","Analyze"
"JBHT","JB Hunt Transport Services Inc","Common stocks","Large cap","Industrials","$15,932,915,554","0.72%","USA","Analyze"
"CMS","CMS Energy Corp","Common stocks","Large cap","Utilities","$15,857,211,268","2.99%","USA","Analyze"
"ATUS","Altice USA, Inc. Class A","Common stocks","Large cap","Communication Services","$15,852,764,609","0.00%","USA","Analyze"
"DGX","Quest Diagnostics Inc","Common stocks","Large cap","Health Care","$15,822,396,464","1.88%","USA","Analyze"
"BXP","Boston Properties, Inc","REITs","Large cap","Real Estate","$15,797,134,448","3.80%","USA","Analyze"
"GPC","Genuine Parts","Common stocks","Large cap","Consumer Discretionary","$15,767,474,070","2.86%","USA","Analyze"
"PFG","Principal Financial Group Inc","Common stocks","Large cap","Financials","$15,757,070,877","3.81%","USA","Analyze"
"STNE","Stoneco Ltd. - Class A","Common stocks","Large cap","Information Technology","$15,682,894,038","0.00%","Brazil","Analyze"
"NVCR","Novocure Ltd","Common stocks","Large cap","Health Care","$15,678,212,970","0.00%","USA","Analyze"
"VMW","VMWare Inc Class A","Common stocks","Large cap","Information Technology","$15,672,316,098","17.59%","USA","Analyze"
"AKAM","Akamai Technologies Inc","Common stocks","Large cap","Information Technology","$15,646,295,082","0.00%","USA","Analyze"
"UAL","United Continental Holdings Inc","Common stocks","Large cap","Industrials","$15,572,563,697","0.00%","USA","Analyze"
"CAH","Cardinal Health Inc","Common stocks","Large cap","Health Care","$15,555,570,653","3.61%","USA","Analyze"
"GH","Guardant Health Inc","Common stocks","Large cap","Health Care","$15,529,009,073","0.00%","USA","Analyze"
"LB","L Brands Inc","Common stocks","Large cap","Consumer Discretionary","$15,524,019,987","0.55%","USA","Analyze"
"MAA","Mid-America Apartment Communities, Inc","REITs","Large cap","Real Estate","$15,476,880,679","2.94%","USA","Analyze"
"OMC","Omnicom Group Inc","Common stocks","Large cap","Communication Services","$15,403,630,900","3.57%","USA","Analyze"
"EMN","Eastman Chemical","Common stocks","Large cap","Materials","$15,398,582,532","2.33%","USA","Analyze"
"WYNN","Wynn Resorts Ltd","Common stocks","Large cap","Consumer Discretionary","$15,376,857,909","0.76%","USA","Analyze"
"VICI","VICI Properties Inc","REITs","Large cap","Real Estate","$15,284,165,515","4.32%","USA","Analyze"
"ELAN","Elanco Animal Health Incorporated","Common stocks","Large cap","Health Care","$15,269,967,548","0.00%","USA","Analyze"
"MKL","Markel Corp","Common stocks","Large cap","Financials","$15,253,305,304","0.00%","USA","Analyze"
"STE","STERIS PLC","Common stocks","Large cap","Health Care","$15,173,151,790","0.88%","USA","Analyze"
"IEX","IDEX Corp","Common stocks","Large cap","Industrials","$15,160,492,760","1.00%","USA","Analyze"
"DVN","Devon Energy Corp","Common stocks","Large cap","Energy","$15,131,288,000","1.83%","USA","Analyze"
"SEDG","SolarEdge Technologies Inc","Common stocks","Large cap","Information Technology","$15,040,666,789","0.00%","USA","Analyze"
"J","Jacobs Engineering Group Inc.","Common stocks","Large cap","Industrials","$14,901,369,743","0.68%","USA","Analyze"
"DT","Dynatrace, Inc.","Common stocks","Large cap","Information Technology","$14,768,352,145","0.00%","USA","Analyze"
"CVNA","Carvana Class A","Common stocks","Large cap","Consumer Discretionary","$14,734,512,000","0.00%","USA","Analyze"
"ABMD","Abiomed Inc","Common stocks","Large cap","Health Care","$14,714,085,549","0.00%","USA","Analyze"
"AVY","Avery Dennison Corp","Common stocks","Large cap","Materials","$14,699,621,803","1.00%","USA","Analyze"
"ACGL","Arch Capital Group Ltd","Common stocks","Large cap","Financials","$14,657,637,911","0.00%","USA","Analyze"
"TECH","Bio-Techne Corp","Common stocks","Large cap","Health Care","$14,566,634,237","0.34%","USA","Analyze"
"CGNX","Cognex Corp","Common stocks","Large cap","Information Technology","$14,554,010,253","0.27%","USA","Analyze"
"DRE","Duke Realty Corporation","REITs","Large cap","Real Estate","$14,513,327,994","2.50%","USA","Analyze"
"CRL","Charles River Laboratories International","Common stocks","Large cap","Health Care","$14,308,674,213","0.00%","USA","Analyze"
"PKI","Perkinelmer Inc","Common stocks","Large cap","Health Care","$14,280,106,072","0.22%","USA","Analyze"
"AGR","Avangrid Inc","Common stocks","Large cap","Utilities","$14,218,718,322","3.84%","USA","Analyze"
"NTAP","NetApp Inc","Common stocks","Large cap","Information Technology","$14,184,145,087","2.97%","USA","Analyze"
"BMRN","Biomarin Pharmaceutical Inc","Common stocks","Large cap","Health Care","$14,166,350,369","0.00%","USA","Analyze"
"WAB","Westinghouse Air Brake Technologies","Common stocks","Large cap","Industrials","$14,123,755,640","0.64%","USA","Analyze"
"LUMN","CenturyLink, Inc.","Common stocks","Large cap","Communication Services","$14,094,504,099","7.65%","USA","Analyze"
"ENTG","Entegris Inc","Common stocks","Large cap","Information Technology","$14,041,188,543","0.31%","USA","Analyze"
"MASI","Masimo Corp","Common stocks","Large cap","Health Care","$13,889,038,942","0.00%","USA","Analyze"
"MAS","Masco Corp","Common stocks","Large cap","Industrials","$13,883,115,369","1.01%","USA","Analyze"
